cicids2017_dnn,cicids2017_cnn,cicids2017_lstmae,cicids2018_dnn,cicids2018_cnn,cicids2018_lstmae
56,77,181,121,189,450
54,75,189,118,184,449
55,73,190,119,182,443
57,74,191,119,181,460
59,73,186,118,182,457
56,73,176,118,182,472
55,74,177,121,184,465
57,72,188,119,183,445
55,72,191,119,183,439
55,74,191,119,184,452
56,72,188,119,187,450
58,73,193,119,187,462
60,72,192,119,184,457
61,72,187,120,184,457
59,73,199,117,183,462
61,73,191,118,190,462
59,74,182,118,190,463
62,73,177,118,184,462
62,73,193,118,185,465
57,73,192,119,183,465
57,73,202,116,185,458
57,73,193,117,188,460
58,73,187,118,186,434
59,73,187,117,195,460
59,73,194,117,187,459
56,73,189,117,185,459
57,73,192,119,187,432
57,73,200,116,185,449
60,73,193,118,185,454
59,73,190,118,187,475
